CD_ID,DISTRICT,Freq,Tons_Per_Pickup,Rat_Complaints,Median_Income,Population
111.0,MN11,3,219.80722727890233,6257,40975.0,124499
101.0,MN01,2,239.73461486211113,486,200000.0,71865
110.0,MN10,3,502.77066068921795,4205,59061.0,134893
102.0,MN02,2,322.55454421953533,1316,157525.0,86202
103.0,MN03,2,766.7773060725445,1833,58967.0,153288
108.0,MN08,3,534.5219625956618,3225,153866.0,212308
107.0,MN07,3,467.4010551102658,4367,144026.0,218761
106.0,MN06,2,491.5849748675452,1098,154907.0,145360
104.0,MN04,2,492.78144953131374,1546,116306.0,117099
109.0,MN09,3,209.0465063623602,1980,65048.0,112774
112.0,MN12,3,433.67554227233626,2829,67024.0,188591
105.0,MN05,2,240.98858850699628,555,167989.0,51619
