CD_ID,DISTRICT,Freq,Tons_Per_Pickup,Rat_Complaints,Median_Income,Population,District,Risk_Level,Avg_Daily_Tons,Mon,Tue,Wed,Thu,Fri,Sat,Sun
111.0,MN11,3,219.80722727890236,6257,40975.0,124499,MN11,HIGH,219.80722727890236,Pickup,-,Pickup,-,Pickup,-,-
101.0,MN01,2,239.73461486211116,486,200000.0,71865,MN01,Normal,239.73461486211116,-,Pickup,-,-,Pickup,-,-
110.0,MN10,3,502.770660689218,4205,59061.0,134893,MN10,HIGH,502.770660689218,-,Pickup,-,Pickup,-,Pickup,-
102.0,MN02,2,322.55454421953533,1316,157525.0,86202,MN02,Normal,322.55454421953533,-,-,Pickup,-,-,Pickup,-
103.0,MN03,2,766.7773060725445,1833,58967.0,153288,MN03,Normal,766.7773060725445,Pickup,-,-,Pickup,-,-,-
108.0,MN08,3,534.5219625956618,3225,153866.0,212308,MN08,HIGH,534.5219625956618,Pickup,-,Pickup,-,Pickup,-,-
107.0,MN07,3,467.4010551102658,4367,144026.0,218761,MN07,HIGH,467.4010551102658,-,Pickup,-,Pickup,-,Pickup,-
106.0,MN06,2,491.5849748675452,1098,154907.0,145360,MN06,Normal,491.5849748675452,-,-,Pickup,-,-,Pickup,-
104.0,MN04,2,492.78144953131374,1546,116306.0,117099,MN04,Normal,492.78144953131374,-,Pickup,-,-,Pickup,-,-
109.0,MN09,3,209.0465063623602,1980,65048.0,112774,MN09,HIGH,209.0465063623602,-,Pickup,-,Pickup,-,Pickup,-
112.0,MN12,3,433.67554227233626,2829,67024.0,188591,MN12,HIGH,433.67554227233626,Pickup,-,Pickup,-,Pickup,-,-
105.0,MN05,2,240.98858850699628,555,167989.0,51619,MN05,Normal,240.98858850699628,-,Pickup,-,-,Pickup,-,-
