CD_ID,DISTRICT,Freq,Tons_Per_Pickup,Rat_Complaints,Median_Income,Population,Housing_Units,SHAPE_Area,Monthly_Trash_Tons,Area_sqkm,Housing_Density,Bin_Adoption_Rate,Rats_After_Bins,New_Efficiency_Loss,New_Daily_Capacity,Pool
111.0,MN11,3,219.80722727890236,6257,40975.0,124499,59665,66146445.0668882,2855.2958823529416,6.145203186049114,9709.198897678749,0.4428835946201066,3762.989613615794,0.15571164053798936,20.262920627088256,Uptown
101.0,MN01,2,239.73461486211116,486,200000.0,71865,40353,40710976.0632209,2076.1017647058825,3.782171809201411,10669.26676938041,0.4244030954282643,300.3660860596772,0.15755969045717358,20.218567429027836,Lower
110.0,MN10,3,502.770660689218,4205,59061.0,134893,64634,39080798.8082581,6530.990882352942,3.630723451683602,17801.96174677765,0.28710471512540936,3118.452205607888,0.17128952848745907,19.889051316300982,Uptown
102.0,MN02,2,322.55454421953533,1316,157525.0,86202,57872,37719022.1000202,2793.322352941176,3.5042103101581765,16514.990505061243,0.311877829291087,946.6118989876364,0.1688122170708913,19.94850679029861,Lower
103.0,MN03,2,766.7773060725445,1833,58967.0,153288,81620,46882269.9811591,6640.291470588236,4.355503528059623,18739.50955938307,0.26905770813364527,1389.1354988919254,0.1730942291866355,19.84573849952075,Lower
108.0,MN08,3,534.5219625956618,3225,153866.0,212308,140746,55045848.1352828,6943.440294117647,5.113924429312178,27522.111823410407,0.10000000000000003,2934.7499999999995,0.19,19.44,Uptown
107.0,MN07,3,467.4010551102658,4367,144026.0,218761,130329,53154204.4452353,6071.539705882353,4.938185055575694,26392.08505417305,0.1217520650478976,3888.477858742248,0.18782479349521025,19.492204956114954,Midtown
106.0,MN06,2,491.5849748675452,1098,154907.0,145360,98035,38695300.3940392,4257.1258823529415,3.5949094925074236,27270.505753851758,0.1048432052589155,994.3939445631397,0.18951567947410847,19.451623692621396,Midtown
104.0,MN04,2,492.78144953131374,1546,116306.0,117099,80817,49291774.1227702,4267.487352941177,4.57935369132772,17648.12361033599,0.2900659698866437,1142.402209499724,0.17099340301133564,19.896158327727946,Midtown
109.0,MN09,3,209.0465063623602,1980,65048.0,112774,45398,41892850.0922369,2715.514117647059,3.8919714521190842,11664.525436146734,0.4052452030240025,1257.8530482112274,0.15947547969759973,20.172588487257606,Uptown
112.0,MN12,3,433.67554227233626,2829,67024.0,188591,77523,77969957.3741703,5633.445294117648,7.243642949932544,10702.211654526944,0.4237689340931426,1750.0419169054499,0.15762310659068576,20.21704544182354,Uptown
105.0,MN05,2,240.98858850699628,555,167989.0,51619,38001,43796730.4747513,2086.961176470588,4.06884765129582,9339.499351345261,0.45,330.22499999999997,0.15500000000000003,20.28,Midtown
